Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene description
WBGene00000080	adr-2	III	7230964	7232882	-1	Probable double-stranded RNA-specific adenosine deaminase  [Source:UniProtKB/Swiss-Prot;Acc:Q22618]
WBGene00000081	ads-1	III	295651	298556	-1	Alkyldihydroxyacetonephosphate synthase  [Source:UniProtKB/Swiss-Prot;Acc:O45218]
WBGene00000082	adt-1	X	12678832	12689279	1	ADAMTS family; ADT-1  [Source:UniProtKB/TrEMBL;Acc:G5ECS8]
WBGene00000083	adt-2	X	7585587	7595414	1	ADAMTS family; ADAMTS-like protease  [Source:UniProtKB/TrEMBL;Acc:Q19204]
WBGene00000084	aex-1	I	7602307	7608245	1	C2 domain-containing protein aex-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEU3]
WBGene00000085	aex-2	X	9650999	9653116	-1	G-protein coupled receptor aex-2  [Source:UniProtKB/Swiss-Prot;Acc:G5ECD9]
WBGene00000086	aex-3	X	751211	759732	-1	MAP kinase-activating death domain protein  [Source:UniProtKB/Swiss-Prot;Acc:O02626]
WBGene00000088	aex-5	I	14850054	14855827	-1	Endoprotease aex-5  [Source:UniProtKB/Swiss-Prot;Acc:P91863]
WBGene00000089	aex-6	I	13543079	13545188	-1	Rab27  [Source:UniProtKB/TrEMBL;Acc:G5EBS5]
WBGene00000090	age-1	II	11519323	11527062	-1	Phosphatidylinositol 3-kinase age-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94125]
WBGene00000092	ags-3	X	5289728	5303512	-1	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:Q19955]
WBGene00000093	agt-1	IV	13368368	13369417	-1	AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q2HQK2]
WBGene00000094	agt-2	II	5371980	5373433	-1	AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q19263]
WBGene00000095	aha-1	I	10193925	10197000	-1	Aryl hydrocarbon receptor nuclear translocator homolog  [Source:UniProtKB/Swiss-Prot;Acc:O02219]
WBGene00000096	ahr-1	I	9522578	9531130	1	Aryl hydrocarbon receptor protein 1  [Source:UniProtKB/Swiss-Prot;Acc:O44712]
WBGene00000097	aip-1	V	14012333	14013644	1	Arsenite Inducible Protein  [Source:UniProtKB/TrEMBL;Acc:Q9XUW8]
WBGene00000098	air-1	V	8221410	8223587	1	Aurora/Ipl1 Related kinase; Aurora/Ipl1-related protein kinase 1  [Source:UniProtKB/TrEMBL;Acc:G5EDL3]
WBGene00000099	air-2	I	5937477	5938885	1	Aurora/IPL1-related protein kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:O01427]
WBGene00000100	ajm-1	X	9078945	9113613	1	Apical Junction Molecule  [Source:UniProtKB/TrEMBL;Acc:A0A1C3NSM8]
WBGene00000101	aka-1	II	7472729	7478959	-1	A Kinase Anchor protein; A kinase anchor protein  [Source:UniProtKB/TrEMBL;Acc:Q18930]
WBGene00000102	akt-1	V	10248907	10252895	1	Serine/threonine-protein kinase akt-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17941]
WBGene00000103	akt-2	X	14147700	14152070	1	Serine/threonine-protein kinase akt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTG7]
WBGene00000105	alg-1	X	13949114	13956261	1	Argonaute-like  [Source:UniProtKB/TrEMBL;Acc:Q3LTR7]
WBGene00000106	alg-2	II	873176	879001	1	
WBGene00000107	alh-1	III	5077765	5080665	1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q8IG19]
WBGene00000108	alh-2	V	1644169	1647728	1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q9TXM0]
WBGene00000109	alh-3	IV	11022603	11025870	1	10-formyltetrahydrofolate dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:G5ECV9]
WBGene00000110	alh-4	V	6427212	6429927	-1	Aldehyde dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q8MXJ7]
WBGene00000111	alh-5	V	1996100	1999581	-1	Aldehyde dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:O44555]
WBGene00000112	alh-6	II	1306240	1310133	-1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q6A593]
WBGene00000113	alh-7	II	13485792	13491786	-1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:O02266]
WBGene00000114	alh-8	II	11728949	11731226	1	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P52713]
WBGene00000115	alh-9	III	5856018	5859186	1	Putative aldehyde dehydrogenase family 7 member A1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P46562]
WBGene00000116	alh-10	X	7140504	7143641	-1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q18822]
WBGene00000117	alh-11	III	774321	778871	-1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q20352]
WBGene00000118	alh-12	III	7454012	7455980	1	ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q7Z1Q3]
WBGene00000120	aly-1	IV	9108931	9109753	1	Ref/ALY RNA export adaptor family  [Source:UniProtKB/TrEMBL;Acc:Q17561]
WBGene00000121	aly-2	IV	9147468	9148579	1	Ref/ALY RNA export adaptor family  [Source:UniProtKB/TrEMBL;Acc:O62183]
WBGene00000122	aly-3	IV	12123155	12124807	1	Ref/ALY RNA export adaptor family  [Source:UniProtKB/TrEMBL;Acc:Q21559]
WBGene00000123	ama-1	IV	4248020	4258173	1	DNA-directed RNA polymerase II subunit RPB1  [Source:UniProtKB/Swiss-Prot;Acc:P16356]
WBGene00000133	amt-1	X	4571448	4573914	1	Putative ammonium transporter 1  [Source:UniProtKB/Swiss-Prot;Acc:P54145]
WBGene00000134	amt-2	IV	13042391	13046858	1	Putative ammonium transporter 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20605]
WBGene00000135	amt-3	II	8363196	8369159	-1	Putative ammonium transporter 3  [Source:UniProtKB/Swiss-Prot;Acc:Q21565]
WBGene00000136	amt-4	X	4565302	4569393	1	Ammonium transporter  [Source:UniProtKB/TrEMBL;Acc:Q17663]
WBGene00000137	amx-1	III	3822403	3826261	1	Amine oxidase family member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21988]
WBGene00000138	amx-2	I	12759545	12764960	-1	AMine oXidase family  [Source:UniProtKB/TrEMBL;Acc:Q9XXU5]
WBGene00000139	amx-3	V	20898840	20903441	-1	AMine oXidase family  [Source:UniProtKB/TrEMBL;Acc:E0AHD3]
WBGene00000140	anc-1	I	4321095	4359080	1	Nuclear anchorage protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4M4]
WBGene00000142	aos-1	V	10127492	10130295	-1	SUMO-activating enzyme subunit aos-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17820]
WBGene00000143	apc-2	III	8080570	8083701	1	Anaphase-promoting complex subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:P34514]
WBGene00000144	apc-10	V	10425362	10426399	-1	Anaphase-promoting complex subunit 10  [Source:UniProtKB/Swiss-Prot;Acc:H2L2B8]
WBGene00000145	apc-11	III	4593769	4594426	-1	Anaphase-promoting complex subunit 11  [Source:UniProtKB/Swiss-Prot;Acc:Q20052]
WBGene00000146	ape-1	V	11675942	11685268	1	Apoptotic enhancer 1 protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9XVN3]
WBGene00000147	aph-1	I	9232071	9233560	-1	Gamma-secretase subunit aph-1  [Source:UniProtKB/Swiss-Prot;Acc:O45876]
WBGene00000148	aph-2	I	10340997	10345648	1	Nicastrin  [Source:UniProtKB/Swiss-Prot;Acc:Q23316]
WBGene00000149	apl-1	X	5112422	5116866	-1	Beta-amyloid-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q10651]
WBGene00000150	apm-1	I	5342180	5344724	-1	AdaPtin, Mu/medium chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:O01755]
WBGene00000151	apn-1	II	8047564	8049105	1	DNA-(apurinic or apyrimidinic site) lyase  [Source:UniProtKB/Swiss-Prot;Acc:Q10002]
WBGene00000155	app-1	I	4964667	4967089	-1	Xaa-Pro aminopeptidase app-1  [Source:UniProtKB/Swiss-Prot;Acc:O44750]
WBGene00000156	apr-1	I	8050043	8055489	1	Adenomatous polyposis coli protein-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21227]
WBGene00000157	aps-2	X	4458272	4459264	1	AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q19123]
WBGene00000158	apg-1	I	14406028	14417942	1	AdaPtin, Gamma chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q8WQB3]
WBGene00000159	aps-1	V	6017970	6018886	1	AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:O16369]
WBGene00000160	apb-1	III	2583953	2597034	-1	AP complex subunit beta  [Source:UniProtKB/TrEMBL;Acc:Q9N4F3]
WBGene00000161	apa-2	X	9336819	9342970	1	AdaPtin, Alpha chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q22601]
WBGene00000162	apd-3	II	3532527	3546431	-1	AP-3 complex subunit delta  [Source:UniProtKB/TrEMBL;Acc:Q95X88]
WBGene00000163	apb-3	I	7853750	7857850	1	AP-3 complex subunit beta  [Source:UniProtKB/TrEMBL;Acc:O45718]
WBGene00000164	apm-3	X	954839	957762	1	AdaPtin, Mu/medium chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q20736]
WBGene00000165	aps-3	I	1154511	1156020	-1	AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q8T874]
WBGene00000166	apt-9	X	11068527	11071925	1	AdaPTin or adaptin-related protein  [Source:UniProtKB/TrEMBL;Acc:Q23165]
WBGene00000168	apx-1	V	3210189	3223218	1	Anterior pharynx in excess protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P41990]
WBGene00000169	aqp-1	II	7235834	7238349	-1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q8IG23]
WBGene00000170	aqp-2	II	9258913	9261994	-1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q17571]
WBGene00000171	aqp-3	IV	10961355	10966459	-1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:A0A061ADS9]
WBGene00000172	aqp-4	V	9737556	9739740	1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:G5EEK0]
WBGene00000173	aqp-5	V	10491743	10493268	1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q18469]
WBGene00000174	aqp-6	V	10648446	10651952	1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:D5MCS1]
WBGene00000175	aqp-7	X	3025505	3026976	1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q21473]
WBGene00000176	aqp-8	X	4702965	4704970	-1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q7Z138]
WBGene00000177	aqp-9	I	9605896	9609025	1	AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:E5QCH4]
WBGene00000178	aqp-10	II	9768357	9769847	-1	Putative aquaporin-10  [Source:UniProtKB/Swiss-Prot;Acc:Q09369]
WBGene00000179	aqp-11	III	13673280	13674746	1	Aquaporin  [Source:UniProtKB/TrEMBL;Acc:O46024]
WBGene00000180	arc-1	II	9674978	9677210	1	E3 ubiquitin-protein ligase arc-1  [Source:UniProtKB/Swiss-Prot;Acc:Q09654]
WBGene00000181	ard-1	IV	11131279	11133785	1	Alcohol/Ribitol Dehydrogenase family  [Source:UniProtKB/TrEMBL;Acc:Q19102]
WBGene00000182	arf-1.2	III	5714861	5717585	1	ADP-ribosylation factor 1-like 2  [Source:UniProtKB/Swiss-Prot;Acc:Q10943]
WBGene00000183	arf-3	IV	7982526	7983919	1	ADP-Ribosylation Factor related; ADP-ribosylation factor related (20.5 kD) (Arf-3)  [Source:UniProtKB/TrEMBL;Acc:G5EFK4]
WBGene00000184	arf-6	IV	16947120	16949734	1	ADP-Ribosylation Factor related  [Source:UniProtKB/TrEMBL;Acc:Q9U2S4]
WBGene00000185	arg-1	X	1786907	1788405	1	Delta-like protein  [Source:UniProtKB/TrEMBL;Acc:Q7JNV6]
WBGene00000186	ark-1	IV	12622093	12631022	-1	Ack-related non-receptor tyrosine kinase  [Source:UniProtKB/Swiss-Prot;Acc:G5EBZ8]
WBGene00000187	arl-1	II	8581945	8583080	1	ADP-ribosylation factor-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20758]
WBGene00000188	arl-3	II	14606472	14608342	1	ADP-ribosylation factor-like protein 3  [Source:UniProtKB/Swiss-Prot;Acc:O45379]
WBGene00000189	arl-5	III	9823242	9824132	1	ADP-ribosylation factor-like protein 5  [Source:UniProtKB/Swiss-Prot;Acc:P34212]
WBGene00000190	arf-1.1	IV	7634786	7635710	1	ADP-ribosylation factor 1-like 1  [Source:UniProtKB/Swiss-Prot;Acc:Q94231]
WBGene00000191	arl-7	X	14980954	14981675	-1	
WBGene00000192	arl-8	IV	14798149	14799229	1	ARF-Like; Novel small G protein indispensable for equal chromosome segregation  [Source:UniProtKB/TrEMBL;Acc:G5EDC6]
WBGene00000193	arl-6	III	4813309	4814814	-1	ADP-ribosylation factor-like protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q18510]
WBGene00000195	arr-1	X	950782	954233	1	Probable beta-arrestin  [Source:UniProtKB/Swiss-Prot;Acc:P51485]
WBGene00000196	aars-1	II	11460215	11464129	-1	Alanine--tRNA ligase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q23122]
WBGene00000197	aars-2	I	3983171	3986915	1	Alanine--tRNA ligase, cytoplasmic  [Source:UniProtKB/Swiss-Prot;Acc:O01541]
WBGene00000198	art-1	II	6970668	6972235	-1	Probable very-long-chain enoyl-CoA reductase art-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5Y2]
WBGene00000199	arx-1	I	2883546	2893718	-1	Actin-related protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4I0]
WBGene00000200	arx-2	V	10335443	10338355	-1	Actin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:P53489]
WBGene00000201	arx-3	III	12052424	12058458	-1	ARp2/3 compleX component  [Source:UniProtKB/TrEMBL;Acc:Q9U1R7]
WBGene00000202	exos-4.2	III	860198	861324	1	EXOSome (Multiexonuclease complex) component  [Source:UniProtKB/TrEMBL;Acc:Q9N4P9]
WBGene00000203	arx-5	III	12816789	12818100	-1	Probable actin-related protein 2/3 complex subunit 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWV3]
WBGene00000204	arx-6	III	4878658	4879643	1	Probable actin-related protein 2/3 complex subunit 4  [Source:UniProtKB/Swiss-Prot;Acc:P58798]
WBGene00000205	arx-7	I	3069325	3070150	-1	Actin-related protein 2/3 complex subunit 5  [Source:UniProtKB/TrEMBL;Acc:O61861]
WBGene00000206	asb-1	III	4594543	4595944	-1	ATP Synthase B homolog  [Source:UniProtKB/TrEMBL;Acc:Q20053]
WBGene00000207	asb-2	X	4469743	4471476	1	ATP Synthase B homolog  [Source:UniProtKB/TrEMBL;Acc:Q19126]
WBGene00000208	asc-1	II	15039404	15048904	1	ASC-1; Activating Signal Cointegrator homolog  [Source:UniProtKB/TrEMBL;Acc:G5EDK1]
WBGene00000209	asg-1	I	8692946	8693468	1	Probable ATP synthase subunit g 1, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P90921]
WBGene00000210	asg-2	X	6841258	6842129	1	Probable ATP synthase subunit g 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q18803]
WBGene00000211	asm-1	II	6910031	6912697	1	Sphingomyelin phosphodiesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q10916]
WBGene00000212	asm-2	X	11321079	11324251	-1	Sphingomyelin phosphodiesterase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q23498]
WBGene00000213	asm-3	IV	520214	523809	-1	Putative sphingomyelin phosphodiesterase asm-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9UAY4]
WBGene00000214	asp-1	V	19049461	19050825	-1	ASpartyl Protease; Aspartic protease 1  [Source:UniProtKB/TrEMBL;Acc:G5EEI4]
WBGene00000215	asp-2	V	9199680	9204734	1	ASpartyl Protease  [Source:UniProtKB/TrEMBL;Acc:Q86NE1]
WBGene00000216	asp-3	X	6791064	6792715	1	Aspartic protease 3  [Source:UniProtKB/Swiss-Prot;Acc:P55956]
WBGene00000217	asp-4	X	13218977	13221462	-1	ASpartyl Protease  [Source:UniProtKB/TrEMBL;Acc:Q21966]
WBGene00000218	asp-5	V	8272375	8274046	1	ASpartyl Protease  [Source:UniProtKB/TrEMBL;Acc:O01532]
WBGene00000219	asp-6	V	8267511	8268937	-1	Aspartic protease 6  [Source:UniProtKB/Swiss-Prot;Acc:O01530]
